"geno","male","female","pool"
"UGP202000092-10","APA323","RAK819","A"
"UGP202000088-18","APA323","Ejumula","A"
"UGP202000093-6","APA323","LUW1274","A"
"UGP202000091-10","APA323","MPG1128","A"
"UGP202000102-9","Otada","MLE194","A"
"UGP202000099-9","Otada","Carrot_C","A"
"UGP202000102-1","Otada","MLE194","A"
"UGP202000099-21","Otada","Carrot_C","A"
"UGP202000101-8","Otada","NK318L","A"
"UGP202000100-11","Otada","Ejumula","A"
"UGP202000099-6","Otada","Carrot_C","A"
"UGP202000102-21","Otada","MLE194","A"
"UGP202000102-4","Otada","MLE194","A"
"UGP202000099-5","Otada","Carrot_C","A"
"UGP202000100-5","Otada","Ejumula","A"
"UGP202000101-1","Otada","NK318L","A"
"UGP202000101-12","Otada","NK318L","A"
"UGP202000099-18","Otada","Carrot_C","A"
"UGP202000101-15","Otada","NK318L","A"
"UGP202000099-11","Otada","Carrot_C","A"
"UGP202000099-14","Otada","Carrot_C","A"
"UGP202000101-7","Otada","NK318L","A"
"UGP202000101-9","Otada","NK318L","A"
"UGP202000102-2","Otada","MLE194","A"
"UGP202000101-6","Otada","NK318L","A"
"UGP202000102-5","Otada","MLE194","A"
"UGP202000101-18","Otada","NK318L","A"
"UGP202000102-17","Otada","MLE194","A"
"UGP202000100-7","Otada","Ejumula","A"
"UGP202000103-5","RAK835","Ejumula","A"
"UGP202000103-1","RAK835","Ejumula","A"
"UGP202000108-2","RAK835","MLE194","A"
"UGP202000105-13","RAK835","MPG1128","A"
"UGP202000108-12","RAK835","MLE194","A"
"UGP202000107-8","RAK835","NK318L","A"
"UGP202000108-5","RAK835","MLE194","A"
"UGP202000103-10","RAK835","Ejumula","A"
"UGP202000108-19","RAK835","MLE194","A"
"UGP202000103-9","RAK835","Ejumula","A"
"UGP202000106-12","RAK835","LUW1274","A"
"UGP202000105-18","RAK835","MPG1128","A"
"UGP202000105-8","RAK835","MPG1128","A"
"UGP202000104-6","RAK835","KMI61","A"
"UGP202000265-18","RAK835","Carrot_C","A"
"UGP202000108-15","RAK835","MLE194","A"
"UGP202000107-13","RAK835","NK318L","A"
"UGP202000105-11","RAK835","MPG1128","A"
"UGP202000103-2","RAK835","Ejumula","A"
"UGP202000108-16","RAK835","MLE194","A"
"UGP202000105-1","RAK835","MPG1128","A"
"UGP202000108-3","RAK835","MLE194","A"
"UGP202000106-11","RAK835","LUW1274","A"
"UGP202000105-2","RAK835","MPG1128","A"
"UGP202000265-2","RAK835","Carrot_C","A"
"UGP202000112-19","NK318L","NASPOT_9_O","A"
"UGP202000109-20","NK318L","KMI61","A"
"UGP202000116-13","NK318L","APA323","A"
"UGP202000116-16","NK318L","APA323","A"
"UGP202000117-7","NK318L","Otada","A"
"UGP202000110-17","NK318L","KBL648","A"
"UGP202000114-1","NK318L","NASPOT_7","A"
"UGP202000117-4","NK318L","Otada","A"
"UGP202000117-6","NK318L","Otada","A"
"UGP202000110-18","NK318L","KBL648","A"
"UGP202000115-18","NK318L","KML872","A"
"UGP202000116-6","NK318L","APA323","A"
"UGP202000109-11","NK318L","KMI61","A"
"UGP202000110-3","NK318L","KBL648","A"
"UGP202000114-8","NK318L","NASPOT_7","A"
"UGP202000116-2","NK318L","APA323","A"
"UGP202000114-4","NK318L","NASPOT_7","A"
"UGP202000113-5","NK318L","LUW1274","A"
"UGP202000112-6","NK318L","NASPOT_9_O","A"
"UGP202000113-8","NK318L","LUW1274","A"
"UGP202000117-17","NK318L","Otada","A"
"UGP202000114-19","NK318L","NASPOT_7","A"
"UGP202000109-6","NK318L","KMI61","A"
"UGP202000110-8","NK318L","KBL648","A"
"UGP202000112-9","NK318L","NASPOT_9_O","A"
"UGP202000120-12","MLE194","Carrot_C","A"
"UGP202000120-3","MLE194","Carrot_C","A"
"UGP202000124-21","MLE194","RAK835","A"
"UGP202000121-2","MLE194","MPG1128","A"
"UGP202000121-12","MLE194","MPG1128","A"
"UGP202000120-16","MLE194","Carrot_C","A"
"UGP202000123-4","MLE194","Otada","A"
"UGP202000120-4","MLE194","Carrot_C","A"
"UGP202000123-8","MLE194","Otada","A"
"UGP202000123-7","MLE194","Otada","A"
"UGP202000122-14","MLE194","KBL648","A"
"UGP202000122-10","MLE194","KBL648","A"
"UGP202000122-11","MLE194","KBL648","A"
"UGP202000121-11","MLE194","MPG1128","A"
"UGP202000124-20","MLE194","RAK835","A"
"UGP202000121-3","MLE194","MPG1128","A"
"UGP202000122-21","MLE194","KBL648","A"
"UGP202000124-8","MLE194","RAK835","A"
"UGP202000124-1","MLE194","RAK835","A"
"UGP202000124-5","MLE194","RAK835","A"
"UGP202000121-8","MLE194","MPG1128","A"
"UGP202000120-2","MLE194","Carrot_C","A"
"UGP202000125-1","MLE194","NK318L","A"
"UGP202000120-17","MLE194","Carrot_C","A"
"UGP202000124-13","MLE194","RAK835","A"
"UGP202000022-22","KMI61","KBL648","A"
"UGP202000023-1","KMI61","APA323","A"
"UGP202000021-4","KMI61","MPG1128","A"
"UGP202000022-4","KMI61","KBL648","A"
"UGP202000022-14","KMI61","KBL648","A"
"UGP202000021-11","KMI61","MPG1128","A"
"UGP202000023-3","KMI61","APA323","A"
"UGP202000023-18","KMI61","APA323","A"
