"geno","row_number","col_number","colgroup","rowgroup","rc.group","env","pool","status","rytha","rn","cn","check","geno.cod","check.cod"
"MLE199",5,4,"1","1","1_1","OT1NAM22","B","Parent",5.18518518518519,"5","4","Candidate","MLE199",NA
"UGP202000113-21",5,5,"1","1","1_1","OT1NAM22","A","Regular",20.037037037037,"5","5","Candidate","UGP202000113-21",NA
"UGP202000117-4",5,6,"1","1","1_1","OT1NAM22","A","Regular",30.7407407407407,"5","6","Candidate","UGP202000117-4",NA
"Ejumula",5,7,"1","1","1_1","OT1NAM22","A","Parent",18.9259259259259,"5","7","Candidate","Ejumula",NA
"UGP202000065-22",5,8,"1","1","1_1","OT1NAM22","A","Regular",29.2592592592593,"5","8","Candidate","UGP202000065-22",NA
"UGP202000004-4",5,9,"1","1","1_1","OT1NAM22","A","Regular",16.3333333333333,"5","9","Candidate","UGP202000004-4",NA
"UGP202000230-4",5,10,"1","1","1_1","OT1NAM22","B","Regular",11.9259259259259,"5","10","Candidate","UGP202000230-4",NA
"UGP202000271-14",5,11,"2","1","2_1","OT1NAM22","B","Regular",11.1111111111111,"5","11","Candidate","UGP202000271-14",NA
"UGP202000050-6",5,12,"2","1","2_1","OT1NAM22","A","Regular",13.3333333333333,"5","12","Candidate","UGP202000050-6",NA
"UGP202000065-15",5,13,"2","1","2_1","OT1NAM22","A","Regular",29.6296296296296,"5","13","Candidate","UGP202000065-15",NA
"UGP202000059-12",5,14,"2","1","2_1","OT1NAM22","A","Regular",14.1481481481481,"5","14","Candidate","UGP202000059-12",NA
"MLE194",5,15,"2","1","2_1","OT1NAM22","A","Parent",19.6666666666667,"5","15","Candidate","MLE194",NA
"UGP202000008-13",5,16,"2","1","2_1","OT1NAM22","A","Regular",0.444444444444444,"5","16","Candidate","UGP202000008-13",NA
"UGP202000269-20",5,17,"2","1","2_1","OT1NAM22","B","Regular",4.07407407407407,"5","17","Candidate","UGP202000269-20",NA
"UGP202000158-1",5,18,"2","1","2_1","OT1NAM22","B","Regular",3.7037037037037,"5","18","Candidate","UGP202000158-1",NA
"Cemsa_74-228",5,19,"2","1","2_1","OT1NAM22","C","Check",7.40740740740741,"5","19","Check",NA,"Cemsa_74-228"
"KML942",5,20,"2","1","2_1","OT1NAM22","B","Parent",1.11111111111111,"5","20","Candidate","KML942",NA
"UGP202000158-8",5,21,"3","1","3_1","OT1NAM22","B","Regular",5.92592592592593,"5","21","Candidate","UGP202000158-8",NA
"UGP202000155-1",5,22,"3","1","3_1","OT1NAM22","B","Regular",18.2222222222222,"5","22","Candidate","UGP202000155-1",NA
"UGP202000010-8",5,23,"3","1","3_1","OT1NAM22","A","Regular",38.8888888888889,"5","23","Candidate","UGP202000010-8",NA
"UGP202000007-23",5,24,"3","1","3_1","OT1NAM22","A","Regular",0.296296296296296,"5","24","Candidate","UGP202000007-23",NA
"UGP202000271-9",5,25,"3","1","3_1","OT1NAM22","B","Regular",38.1481481481481,"5","25","Candidate","UGP202000271-9",NA
"Silk_Omuyaka",5,26,"3","1","3_1","OT1NAM22","C","Check",20.3703703703704,"5","26","Check",NA,"Silk_Omuyaka"
"UGP202000025-8",5,27,"3","1","3_1","OT1NAM22","A","Regular",16.2962962962963,"5","27","Candidate","UGP202000025-8",NA
"UGP202000262-7",5,28,"3","1","3_1","OT1NAM22","A","Regular",7.07407407407407,"5","28","Candidate","UGP202000262-7",NA
"Beauregard",5,29,"3","1","3_1","OT1NAM22","C","Check",17.8148148148148,"5","29","Check",NA,"Beauregard"
"SRT43",5,30,"3","1","3_1","OT1NAM22","B","Parent",7.85185185185185,"5","30","Candidate","SRT43",NA
"UGP202000139-17",6,1,"1","1","1_1","OT1NAM22","B","Regular",5.59259259259259,"6","1","Candidate","UGP202000139-17",NA
"UGP202000189-10",6,2,"1","1","1_1","OT1NAM22","B","Regular",6.66666666666667,"6","2","Candidate","UGP202000189-10",NA
"UGP202000065-4",6,3,"1","1","1_1","OT1NAM22","A","Regular",1.85185185185185,"6","3","Candidate","UGP202000065-4",NA
"UGP202000189-9",6,4,"1","1","1_1","OT1NAM22","B","Regular",1.51851851851852,"6","4","Candidate","UGP202000189-9",NA
"UGP202000103-9",6,5,"1","1","1_1","OT1NAM22","A","Regular",8.14814814814815,"6","5","Candidate","UGP202000103-9",NA
"UGP202000146-19",6,6,"1","1","1_1","OT1NAM22","B","Regular",NA,"6","6","Candidate","UGP202000146-19",NA
"KBL648",6,7,"1","1","1_1","OT1NAM22","A","Parent",25.1851851851852,"6","7","Candidate","KBL648",NA
"Tanzania",6,8,"1","1","1_1","OT1NAM22","C","Check",26.2962962962963,"6","8","Check",NA,"Tanzania"
"UGP202000193-20",6,9,"1","1","1_1","OT1NAM22","B","Regular",8.55555555555555,"6","9","Candidate","UGP202000193-20",NA
"UGP202000262-6",6,10,"1","1","1_1","OT1NAM22","A","Regular",11.4814814814815,"6","10","Candidate","UGP202000262-6",NA
